id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
484545,,2026,4,True,Rovaniemi,Lapland,Finland,66.492313,25.685222,,2026-06-30 07:14:05.354549+00:00
484544,,2026,4,True,Rovaniemi,Lapland,Finland,66.4916083,25.7805843,,2026-06-30 07:14:05.354549+00:00
484543,,2026,4,True,Rovaniemi,Lapland,Finland,66.490986,25.694468,,2026-06-30 07:14:05.354549+00:00
484542,,2026,4,True,Rovaniemi,Lapland,Finland,66.490303,25.6620007,,2026-06-30 07:14:05.354549+00:00
484541,,2026,4,True,Rovaniemi,Lapland,Finland,66.488705,25.65549,,2026-06-30 07:14:05.354549+00:00
484540,,2026,4,True,Rovaniemi,Lapland,Finland,66.487203,25.684952,,2026-06-30 07:14:05.354549+00:00
484539,,2026,4,True,Rovaniemi,Lapland,Finland,66.486813,25.79622,,2026-06-30 07:14:05.354549+00:00
484538,,2026,4,True,Rovaniemi,Lapland,Finland,66.48614,25.678246,,2026-06-30 07:14:05.354549+00:00
484537,,2026,4,True,Rovaniemi,Lapland,Finland,66.484818,25.715711,,2026-06-30 07:14:05.354549+00:00
484536,,2026,4,True,Rovaniemi,Lapland,Finland,66.475827,25.73292,,2026-06-30 07:14:05.354549+00:00
484535,,2026,4,True,Rovaniemi,Lapland,Finland,66.4163971,25.4171009,,2026-06-30 07:14:05.354549+00:00
484534,,2026,4,True,Rovaniemi,Lapland,Finland,66.375343,26.693763,,2026-06-30 07:14:05.354549+00:00
484533,,2026,4,True,Rovaniemi,Lapland,Finland,66.36909,25.3776945,,2026-06-30 07:14:05.354549+00:00
484532,,2026,4,True,Rovaniemi,Lapland,Finland,66.367686,25.37397,,2026-06-30 07:14:05.354549+00:00
484531,,2026,4,True,Ylitornio,Lapland,Finland,66.3367996,23.7021008,,2026-06-30 07:14:05.354549+00:00
484530,,2026,4,True,Ylitornio,Lapland,Finland,66.326803,23.676124,,2026-06-30 07:14:05.354549+00:00
484529,,2026,4,True,Ylitornio,Lapland,Finland,66.3222351,23.6702881,,2026-06-30 07:14:05.354549+00:00
484528,,2026,4,True,Ylitornio,Lapland,Finland,66.3127689,23.7095814,,2026-06-30 07:14:05.354549+00:00
484527,,2026,4,True,Tervola,Lapland,Finland,66.228032,24.983286,,2026-06-30 07:14:05.354549+00:00
484526,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.171384,29.135957,,2026-06-30 07:14:05.354549+00:00
484525,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.170641,29.171748,,2026-06-30 07:14:05.354549+00:00
484524,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.168879,29.139873,,2026-06-30 07:14:05.354549+00:00
484523,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.167694,29.12614,,2026-06-30 07:14:05.354549+00:00
484522,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.167005,29.138902,,2026-06-30 07:14:05.354549+00:00
484521,,2026,4,True,Tervola,Lapland,Finland,66.162095,25.107456,,2026-06-30 07:14:05.354549+00:00
484520,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.1574173,29.1174812,,2026-06-30 07:14:05.354549+00:00
484519,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.1562042,29.1763616,,2026-06-30 07:14:05.354549+00:00
