country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Sweden,2016,6,Stockholm,72,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,7,Stockholm,36,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,8,Stockholm,45,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,9,Stockholm,185,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,10,Stockholm,79,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,11,Stockholm,87,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2016,12,Stockholm,144,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,1,Stockholm,91,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,2,Stockholm,74,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,3,Stockholm,160,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,4,Stockholm,104,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,5,Stockholm,131,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,6,Stockholm,125,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,7,Stockholm,73,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,8,Stockholm,148,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,9,Stockholm,162,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,10,Stockholm,145,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,11,Stockholm,101,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2017,12,Stockholm,105,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,1,Stockholm,64,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,2,Stockholm,75,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,3,Stockholm,199,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,4,Stockholm,114,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,5,Stockholm,106,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,6,Stockholm,99,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,7,Stockholm,172,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,8,Stockholm,195,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,9,Stockholm,210,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,10,Stockholm,209,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,11,Stockholm,375,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2018,12,Stockholm,332,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,1,Stockholm,335,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,2,Stockholm,300,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,3,Stockholm,797,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,4,Stockholm,443,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,5,Stockholm,440,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,6,Stockholm,602,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,7,Stockholm,379,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,8,Stockholm,374,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,9,Stockholm,751,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,10,Stockholm,340,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,11,Stockholm,355,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2019,12,Stockholm,646,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,1,Stockholm,391,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,2,Stockholm,476,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,3,Stockholm,1211,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,4,Stockholm,337,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,5,Stockholm,355,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,6,Stockholm,562,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,7,Stockholm,478,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,8,Stockholm,689,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,9,Stockholm,1353,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,10,Stockholm,894,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,11,Stockholm,837,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2020,12,Stockholm,2424,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,1,Stockholm,383,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,2,Stockholm,517,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,3,Stockholm,1121,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,4,Stockholm,1810,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,5,Stockholm,1531,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,6,Stockholm,3160,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,7,Stockholm,695,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,8,Stockholm,1331,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,9,Stockholm,2415,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,10,Stockholm,1576,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,11,Stockholm,1923,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2021,12,Stockholm,3306,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2022,1,Stockholm,1611,electricity,2026-06-30 07:14:11.597982+00:00
Sweden,2022,2,Stockholm,1879,electricity,2026-06-30 07:14:11.597982+00:00
